"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00476827","v0415430WIS",43.028056,-91.133333,2019,"PRAIRIE DU CHIEN",2.59926740583031
"USC00188557","4199300",38.99978,-76.48103,2010,"STEVENSVILLE 2SW",12.7367632529576
"USW00014853","1476067",42.300243,-83.662835,1961,"DETROIT WILLOW RUN AP",13.2648830928083
"USW00014853","1476077",42.300243,-83.662835,1961,"DETROIT WILLOW RUN AP",13.2648830928083
"USC00205065","1479048",44.0408833,-86.5100833,2009,"MANISTEE 3SE",25.6366779854776
"USC00201361","1481173",43.689459,-83.496847,1995,"CASS CITY 1 SSW",27.9316473696417
"USC00203661","1483575",42.900302,-85.07111,2005,"HASTINGS",33.7533987827179
"USW00094814","1559326",44.314,-84.4075,1985,"HOUGHTON LAKE ROSCOMMON CO AP",21.7752268390199
"USC00205452","1560174",42.4457,-84.01614,1961,"MILFORD GM PROVING GROUND",30.9898933283132
"USR0000NBES","CSCN-V-0003380",41.779411,-100.5304641,1987,"BESSY NEBRASKA",22.4405176160946
"USC00147551","CSCN-V-0003369",38.683333,-97.887222,2003,"SMOLAN 1NE",20.1645198959377
"USC00301101","PH00055263",41.881197,-75.35601,1953,"CALLICOON",28.3733861959099
"USC00286864","PH00060325",40.025731,-75.016012,2009,"PENNSAUKEN 1N",6.64960808764762
"USC00286864","PH00060326",40.025731,-75.016012,2009,"PENNSAUKEN 1N",6.64960808764762
"USW00014793","PH00060327",40.090878,-75.223367,2009,"WILLOW GROVE NAS",13.6425135366142
"USW00014793","PH00060328",40.090878,-75.223367,2009,"WILLOW GROVE NAS",13.6425135366142
"USC00368400","PH00071907",40.563671,-75.185891,2009,"SPRINGTOWN 1 NNE",7.83242012150947
"USC00368400","PH00071908",40.494044,-75.118853,2009,"SPRINGTOWN 1 NNE",15.9543360549179
"USW00054786","PH00071909",40.444009,-75.111854,2009,"DOYLESTOWN AP",12.6778058992213
"USC00368400","PH00071910",40.488363,-75.195251,2009,"SPRINGTOWN 1 NNE",11.5614646535772
"USC00368400","PH00071911",40.488363,-75.195251,2009,"SPRINGTOWN 1 NNE",11.5614646535772
"USC00367938","PH00071912",40.457317,-75.247691,2009,"SELLERSVILLE",12.6235298715357
"USC00367938","PH00071913",40.457317,-75.247691,2009,"SELLERSVILLE",12.6235298715357
"USC00367938","PH00071914",40.31662,-75.20824,2009,"SELLERSVILLE",9.87388198893097
"USW00054786","PH00071919",40.247267,-75.193595,2009,"DOYLESTOWN AP",11.0137441555919
"USW00054786","PH00071920",40.247267,-75.193595,2009,"DOYLESTOWN AP",11.0137441555919
"USW00054786","PH00071921",40.247267,-75.193595,2009,"DOYLESTOWN AP",11.0137441555919
"USC00126001","IND-0158842",37.829112,-87.984109,2021,"MT VERNON",13.5175863169287
"USC00126001","IND-0158872",37.855229,-88.02281,2021,"MT VERNON",13.826467952099
"USC00126001","IND-0158873",37.855229,-88.02281,2021,"MT VERNON",13.826467952099
"USW00093817","IND-0158979",38.349033,-87.78123,2021,"EVANSVILLE RGNL AP",40.5690319307571
"CA005011051","28901",49.701,-99.097,1974,"GLENBORO",22.6409367123462
